,factor_1,factor_2,factor_3
3,18,27,6
4,28,25,11
6,18,14,6
7,19,21,7
8,25,24,11
9,28,19,5
18,26,22,11
21,22,21,6
22,23,23,8
24,25,22,6
25,20,20,7
26,24,17,7
27,26,22,12
28,23,30,5
31,27,23,6
34,27,22,9
35,22,25,11
36,20,19,18
37,17,19,9
38,15,17,9
39,20,20,10
41,15,15,7
42,23,23,11
43,25,23,7
45,15,18,5
46,24,27,10
47,21,14,7
48,11,19,5
49,23,18,8
50,20,13,7
51,24,21,6
52,26,26,20
53,23,21,11
54,16,15,8
55,19,23,12
56,23,22,15
57,21,22,7
58,24,22,6
59,23,22,12
60,24,23,6
61,21,19,9
62,20,14,7
63,23,20,7
64,24,18,5
65,13,18,6
66,24,20,7
67,24,28,9
68,22,18,9
69,20,20,9
70,26,22,9
71,27,26,7
73,22,22,7
74,26,23,8
75,24,21,10
76,22,23,8
77,22,21,11
78,21,21,12
79,19,19,6
81,24,21,8
82,21,21,6
83,22,19,9
84,22,23,10
85,23,20,6
86,16,14,5
87,30,25,7
89,29,25,6
90,26,21,6
91,20,15,9
92,30,28,13
93,16,19,9
95,23,27,10
96,24,16,6
97,24,25,14
98,20,20,9
99,25,25,6
101,25,23,5
102,21,20,5
103,21,17,8
104,20,17,5
105,22,17,15
106,24,19,8
107,18,19,7
108,24,28,24
109,25,20,10
110,28,25,13
111,22,23,5
114,23,28,5
115,22,24,12
116,25,28,11
127,23,19,6
128,17,19,6
129,24,14,6
135,21,21,6
137,14,16,9
138,24,25,5
140,23,17,5
141,18,24,9
145,23,18,7
148,18,18,5
149,24,19,6
150,20,19,9
152,22,25,15
157,25,17,11
159,24,24,15
163,23,23,9
166,26,15,8
168,20,23,5
169,24,20,6
170,24,23,10
173,17,17,7
175,16,14,6
181,21,22,7
184,28,21,8
190,24,26,5
191,26,25,7
192,22,14,9
193,24,21,6
196,20,20,10
201,20,17,7
206,14,25,7
208,17,21,6
216,24,18,5
219,25,27,23
222,28,24,6
223,24,16,11
224,30,24,19
227,15,22,7
228,25,19,25
229,25,25,8
230,26,26,14
231,24,25,13
232,22,25,12
233,15,19,8
234,27,20,13
235,28,29,21
236,26,19,6
237,30,30,12
238,21,23,8
239,22,22,18
240,17,23,12
241,24,25,14
242,29,24,8
243,27,24,8
244,22,21,10
245,28,22,19
246,24,23,12
247,25,23,7
248,23,29,12
249,24,29,9
250,30,28,8
251,23,20,8
252,14,17,15
253,24,21,12
254,26,26,20
255,23,24,13
257,26,24,19
258,22,16,10
259,23,22,21
261,25,23,8
263,26,29,6
265,25,23,7
266,28,28,9
267,22,26,19
268,28,30,19
269,26,27,7
270,25,26,6
273,21,24,11
275,18,20,15
280,24,28,15
281,28,22,15
282,22,22,6
283,22,25,11
284,26,23,13
285,26,26,12
286,27,22,5
287,25,22,9
288,29,27,15
289,24,19,15
290,21,24,7
293,24,17,5
294,23,16,5
295,30,24,18
296,22,24,11
297,24,23,12
298,29,24,6
299,29,30,22
300,27,22,8
301,23,25,11
302,28,27,9
303,25,24,18
304,21,19,7
305,25,28,12
306,22,25,11
307,26,22,14
309,24,21,7
310,22,22,13
311,20,11,8
312,27,18,11
313,30,26,14
314,28,22,9
315,29,26,19
316,25,25,12
317,26,27,8
318,19,24,6
319,27,23,9
320,26,30,19
321,27,24,13
322,25,24,24
323,24,19,5
324,26,25,8
325,23,25,10
326,28,23,11
327,26,27,14
328,25,14,5
329,18,15,7
330,26,25,14
331,9,21,5
332,30,20,8
333,22,15,6
334,23,21,11
335,26,25,9
336,21,21,9
337,25,24,8
338,28,26,8
339,29,26,10
340,20,22,10
341,20,21,5
342,17,23,8
343,20,20,6
344,30,30,10
345,30,27,8
346,23,17,8
347,22,21,13
348,19,21,7
349,17,15,9
350,29,20,10
351,15,21,9
352,22,21,11
357,22,19,5
359,20,13,6
360,23,18,11
363,23,23,14
364,26,19,5
367,26,27,26
368,30,18,5
370,25,25,12
371,25,25,14
372,26,24,13
373,20,25,10
374,22,23,20
375,30,11,5
376,20,21,5
377,21,24,11
379,16,20,14
380,23,24,7
381,27,26,15
382,24,20,5
383,19,21,9
384,21,24,10
386,21,26,16
387,30,30,16
388,22,21,11
389,17,20,21
390,30,28,5
393,24,22,9
394,17,20,11
395,27,30,11
396,19,19,9
397,26,25,12
398,21,17,6
399,26,24,7
401,17,16,5
402,23,16,9
403,24,23,11
404,28,28,8
406,23,23,14
407,25,22,16
408,14,17,10
409,28,27,13
411,23,22,18
412,28,21,10
413,21,21,9
414,24,19,11
415,24,21,14
416,22,20,5
417,24,20,10
418,22,26,5
419,25,22,8
420,25,17,5
421,27,26,26
422,29,16,10
424,15,14,5
425,19,18,14
426,27,25,12
427,20,23,7
428,30,29,16
429,21,20,14
430,18,23,9
432,17,19,5
433,27,26,9
434,25,23,7
435,25,16,8
436,25,15,5
438,29,30,8
439,21,19,15
440,25,24,9
441,19,23,8
442,26,26,19
443,27,23,9
444,19,22,9
446,29,30,13
447,25,20,15
448,27,30,8
449,25,22,5
450,28,24,13
451,21,20,6
455,25,28,5
458,27,30,15
460,26,21,10
462,25,17,9
463,22,19,7
464,24,15,9
465,25,30,17
467,22,21,5
468,30,20,5
469,24,22,9
470,18,21,12
471,21,23,16
472,19,21,6
473,21,22,5
474,20,27,12
485,25,30,13
487,26,26,8
488,28,29,11
489,23,16,5
490,24,25,12
491,26,22,10
505,28,23,10
506,29,20,9
507,19,22,5
508,21,21,8
509,23,27,13
511,26,22,7
512,21,14,11
513,30,29,11
516,28,29,16
517,22,24,10
519,29,24,7
521,28,29,13
523,27,23,12
524,26,24,14
525,24,29,15
526,21,27,8
527,23,27,12
529,18,18,5
531,28,29,23
532,22,22,13
534,20,19,13
535,27,28,5
536,27,25,16
537,23,21,12
538,20,23,7
539,22,20,5
542,27,29,8
543,29,30,15
544,28,22,13
548,30,28,11
551,25,27,9
553,24,26,7
554,24,18,9
555,26,25,10
556,24,17,5
558,20,15,11
559,25,22,9
560,25,25,10
561,27,16,6
562,22,25,10
564,20,21,5
565,27,22,12
567,14,20,6
568,21,18,6
569,19,27,12
570,27,26,13
573,26,22,16
574,14,24,6
575,22,21,17
576,24,23,5
577,30,30,19
578,23,26,13
581,24,27,10
582,24,22,11
585,26,26,10
586,27,30,11
587,26,23,14
592,29,23,12
593,18,22,7
594,23,23,12
596,28,24,14
597,29,27,11
598,20,15,10
599,26,25,13
601,22,18,9
604,17,17,9
605,21,24,10
